student_id,teacher_note
1,Attends regularly and completes the required work.
2,Attends regularly and completes the required work.
3,"Struggling badly with the basics, needs urgent support."
4,Quiet in class but keeps up with the material.
5,Quiet in class but keeps up with the material.
6,Quiet in class but keeps up with the material.
7,Consistently well prepared and contributes confidently in class.
8,Distracted in class and repeatedly misses deadlines.
9,Consistently well prepared and contributes confidently in class.
10,Excellent attendance and a positive attitude throughout.
11,Poor attendance is hurting an already weak performance.
12,Attends regularly and completes the required work.
13,Consistently well prepared and contributes confidently in class.
14,Attends regularly and completes the required work.
15,Hands work in on time and asks thoughtful questions.
16,Hands work in on time and asks thoughtful questions.
17,Excellent attendance and a positive attitude throughout.
18,Average progress so far this term.
19,Frequently absent and falling behind on assignments.
20,Average progress so far this term.
21,Hands work in on time and asks thoughtful questions.
22,Excellent attendance and a positive attitude throughout.
23,"Strong effort this term, clearly enjoys the work."
24,Hands work in on time and asks thoughtful questions.
25,Poor attendance is hurting an already weak performance.
26,Distracted in class and repeatedly misses deadlines.
27,"A pleasure to teach, shows real interest in the subject."
28,Consistently well prepared and contributes confidently in class.
29,Quiet in class but keeps up with the material.
30,"Does what is asked, could participate more in discussion."
31,"Performance is steady, no particular concerns raised."
32,"Performance is steady, no particular concerns raised."
33,Quiet in class but keeps up with the material.
34,Quiet in class but keeps up with the material.
35,"A pleasure to teach, shows real interest in the subject."
36,Frequently absent and falling behind on assignments.
37,Consistently well prepared and contributes confidently in class.
38,"Strong effort this term, clearly enjoys the work."
39,Consistently well prepared and contributes confidently in class.
40,"Performance is steady, no particular concerns raised."
41,"Struggling badly with the basics, needs urgent support."
42,Excellent attendance and a positive attitude throughout.
43,"Performance is steady, no particular concerns raised."
44,Attends regularly and completes the required work.
45,Poor attendance is hurting an already weak performance.
46,Average progress so far this term.
47,Attends regularly and completes the required work.
48,"Strong effort this term, clearly enjoys the work."
49,Consistently well prepared and contributes confidently in class.
50,Distracted in class and repeatedly misses deadlines.
51,"A pleasure to teach, shows real interest in the subject."
52,Excellent attendance and a positive attitude throughout.
53,"Performance is steady, no particular concerns raised."
54,Average progress so far this term.
55,Quiet in class but keeps up with the material.
56,Attends regularly and completes the required work.
57,Consistently well prepared and contributes confidently in class.
58,Hands work in on time and asks thoughtful questions.
59,"Performance is steady, no particular concerns raised."
60,Consistently well prepared and contributes confidently in class.
61,Quiet in class but keeps up with the material.
62,Frequently absent and falling behind on assignments.
63,"Does what is asked, could participate more in discussion."
64,"Struggling badly with the basics, needs urgent support."
65,"Does what is asked, could participate more in discussion."
66,"Performance is steady, no particular concerns raised."
67,Hands work in on time and asks thoughtful questions.
68,"Performance is steady, no particular concerns raised."
69,"Performance is steady, no particular concerns raised."
70,Quiet in class but keeps up with the material.
71,"A pleasure to teach, shows real interest in the subject."
72,Attends regularly and completes the required work.
73,Distracted in class and repeatedly misses deadlines.
74,Hands work in on time and asks thoughtful questions.
75,Average progress so far this term.
76,Quiet in class but keeps up with the material.
77,Quiet in class but keeps up with the material.
78,"Does what is asked, could participate more in discussion."
79,Poor attendance is hurting an already weak performance.
80,"Struggling badly with the basics, needs urgent support."
81,Average progress so far this term.
82,Quiet in class but keeps up with the material.
83,"Struggling badly with the basics, needs urgent support."
84,Consistently well prepared and contributes confidently in class.
85,Quiet in class but keeps up with the material.
86,Frequently absent and falling behind on assignments.
87,"Struggling badly with the basics, needs urgent support."
88,"Strong effort this term, clearly enjoys the work."
89,"Struggling badly with the basics, needs urgent support."
90,Frequently absent and falling behind on assignments.
91,Quiet in class but keeps up with the material.
92,Excellent attendance and a positive attitude throughout.
93,"Struggling badly with the basics, needs urgent support."
94,Quiet in class but keeps up with the material.
95,"Strong effort this term, clearly enjoys the work."
96,Poor attendance is hurting an already weak performance.
97,"Strong effort this term, clearly enjoys the work."
98,Quiet in class but keeps up with the material.
99,"A pleasure to teach, shows real interest in the subject."
100,Quiet in class but keeps up with the material.
101,Seems disengaged and rarely completes homework.
102,Excellent attendance and a positive attitude throughout.
103,Average progress so far this term.
104,"Struggling badly with the basics, needs urgent support."
105,Excellent attendance and a positive attitude throughout.
106,"Does what is asked, could participate more in discussion."
107,Average progress so far this term.
108,"Strong effort this term, clearly enjoys the work."
109,"Performance is steady, no particular concerns raised."
110,Hands work in on time and asks thoughtful questions.
111,Hands work in on time and asks thoughtful questions.
112,Distracted in class and repeatedly misses deadlines.
113,"Does what is asked, could participate more in discussion."
114,Attends regularly and completes the required work.
115,Attends regularly and completes the required work.
116,Consistently well prepared and contributes confidently in class.
117,Hands work in on time and asks thoughtful questions.
118,Hands work in on time and asks thoughtful questions.
119,Poor attendance is hurting an already weak performance.
120,Average progress so far this term.
121,Attends regularly and completes the required work.
122,"Does what is asked, could participate more in discussion."
123,"Strong effort this term, clearly enjoys the work."
124,Distracted in class and repeatedly misses deadlines.
125,Poor attendance is hurting an already weak performance.
126,Excellent attendance and a positive attitude throughout.
127,"Performance is steady, no particular concerns raised."
128,Distracted in class and repeatedly misses deadlines.
129,Frequently absent and falling behind on assignments.
130,Consistently well prepared and contributes confidently in class.
131,Distracted in class and repeatedly misses deadlines.
132,"Struggling badly with the basics, needs urgent support."
133,"Performance is steady, no particular concerns raised."
134,Frequently absent and falling behind on assignments.
135,"Struggling badly with the basics, needs urgent support."
136,Poor attendance is hurting an already weak performance.
137,Seems disengaged and rarely completes homework.
138,Poor attendance is hurting an already weak performance.
139,Frequently absent and falling behind on assignments.
140,"A pleasure to teach, shows real interest in the subject."
141,Average progress so far this term.
142,Seems disengaged and rarely completes homework.
143,Average progress so far this term.
144,Consistently well prepared and contributes confidently in class.
145,"Struggling badly with the basics, needs urgent support."
146,Average progress so far this term.
147,Distracted in class and repeatedly misses deadlines.
148,Quiet in class but keeps up with the material.
149,Seems disengaged and rarely completes homework.
150,"Struggling badly with the basics, needs urgent support."
151,Seems disengaged and rarely completes homework.
152,Average progress so far this term.
153,Average progress so far this term.
154,Frequently absent and falling behind on assignments.
155,Average progress so far this term.
156,"Struggling badly with the basics, needs urgent support."
157,"Does what is asked, could participate more in discussion."
158,Frequently absent and falling behind on assignments.
159,Attends regularly and completes the required work.
160,"Performance is steady, no particular concerns raised."
161,"Struggling badly with the basics, needs urgent support."
162,Seems disengaged and rarely completes homework.
163,Frequently absent and falling behind on assignments.
164,Quiet in class but keeps up with the material.
165,Distracted in class and repeatedly misses deadlines.
166,Frequently absent and falling behind on assignments.
167,Attends regularly and completes the required work.
168,"Strong effort this term, clearly enjoys the work."
169,Attends regularly and completes the required work.
170,Excellent attendance and a positive attitude throughout.
171,Seems disengaged and rarely completes homework.
172,Hands work in on time and asks thoughtful questions.
173,"Does what is asked, could participate more in discussion."
174,Distracted in class and repeatedly misses deadlines.
175,Quiet in class but keeps up with the material.
176,"Struggling badly with the basics, needs urgent support."
177,Excellent attendance and a positive attitude throughout.
178,Distracted in class and repeatedly misses deadlines.
179,Poor attendance is hurting an already weak performance.
180,Quiet in class but keeps up with the material.
181,Distracted in class and repeatedly misses deadlines.
182,Hands work in on time and asks thoughtful questions.
183,"A pleasure to teach, shows real interest in the subject."
184,Poor attendance is hurting an already weak performance.
185,"Performance is steady, no particular concerns raised."
186,"Does what is asked, could participate more in discussion."
187,Average progress so far this term.
188,"Strong effort this term, clearly enjoys the work."
189,Frequently absent and falling behind on assignments.
190,Quiet in class but keeps up with the material.
191,Quiet in class but keeps up with the material.
192,Attends regularly and completes the required work.
193,"Struggling badly with the basics, needs urgent support."
194,Attends regularly and completes the required work.
195,Excellent attendance and a positive attitude throughout.
196,Excellent attendance and a positive attitude throughout.
197,Quiet in class but keeps up with the material.
198,Average progress so far this term.
199,Seems disengaged and rarely completes homework.
200,Attends regularly and completes the required work.
201,Consistently well prepared and contributes confidently in class.
202,Attends regularly and completes the required work.
203,Quiet in class but keeps up with the material.
204,Frequently absent and falling behind on assignments.
205,Attends regularly and completes the required work.
206,"Struggling badly with the basics, needs urgent support."
207,Frequently absent and falling behind on assignments.
208,Average progress so far this term.
209,Quiet in class but keeps up with the material.
210,"Performance is steady, no particular concerns raised."
211,Poor attendance is hurting an already weak performance.
212,Quiet in class but keeps up with the material.
213,Excellent attendance and a positive attitude throughout.
214,Seems disengaged and rarely completes homework.
215,Distracted in class and repeatedly misses deadlines.
216,Excellent attendance and a positive attitude throughout.
217,Poor attendance is hurting an already weak performance.
218,Seems disengaged and rarely completes homework.
219,"Does what is asked, could participate more in discussion."
220,"Does what is asked, could participate more in discussion."
221,Quiet in class but keeps up with the material.
222,Frequently absent and falling behind on assignments.
